N,P,K,temperature,humidity,ph,rainfall,label
120,60,40,25,80,6.5,1200,rice
100,50,50,22,55,6.8,500,wheat
110,55,50,24,65,6.5,600,maize
60,40,30,28,50,6.5,400,bajra
80,40,40,26,55,6.8,500,jowar
50,40,30,24,60,6.5,400,ragi
60,30,30,18,50,7.0,400,barley
80,40,40,20,55,6.5,450,oats
60,35,30,27,52,6.8,400,pearl_millet
50,30,25,25,55,6.5,350,foxtail_millet
40,25,20,24,58,6.2,400,kodo_millet
45,28,22,26,56,6.5,380,little_millet
55,32,28,25,54,6.8,350,proso_millet
48,30,24,23,57,6.5,370,barnyard_millet
85,42,42,27,56,6.7,520,sorghum
30,60,40,22,50,7.0,400,chickpea
25,50,40,26,60,6.5,600,pigeon_pea
25,50,35,28,65,6.8,500,moong
25,55,40,27,62,6.5,550,urad
20,50,35,21,55,7.0,450,masoor
25,52,42,26,61,6.6,580,arhar
30,55,45,23,58,6.8,500,kidney_bean
20,45,30,25,54,6.5,400,horse_gram
22,48,32,28,52,7.0,350,moth_bean
28,52,38,20,56,6.8,450,field_pea
22,50,35,21,54,7.0,420,lentil
32,58,42,19,60,6.5,500,green_pea
35,60,48,22,62,6.8,550,french_bean
25,48,35,26,55,7.2,400,cluster_bean
28,52,38,27,60,6.5,480,cowpea
150,80,100,22,70,6.0,500,potato
120,70,80,24,65,6.5,600,tomato
100,60,70,23,60,6.5,450,onion
110,65,75,20,68,6.5,500,cabbage
115,68,78,19,70,6.5,550,cauliflower
100,60,65,25,68,6.5,600,brinjal
90,55,60,26,65,6.5,650,chilli
70,50,55,27,62,6.5,500,okra
80,55,60,21,65,6.5,450,carrot
75,50,55,22,65,6.5,400,radish
100,60,70,24,70,6.5,600,pumpkin
85,55,60,25,68,6.5,550,bottle_gourd
80,50,55,26,66,6.5,500,bitter_gourd
75,48,52,25,67,6.5,520,ridge_gourd
70,45,50,24,68,6.5,500,cucumber
90,55,60,20,65,6.5,450,spinach
85,52,58,21,66,6.5,480,beetroot
80,50,55,20,64,6.5,460,turnip
75,48,52,18,70,6.5,500,lettuce
95,58,65,25,68,6.0,550,sweet_potato
100,60,80,27,65,6.5,1000,mango
150,80,120,28,75,6.5,1500,banana
120,70,90,26,70,6.5,1200,papaya
90,55,70,26,68,6.5,900,guava
80,50,60,18,60,6.5,800,apple
100,60,80,24,55,6.5,600,grapes
110,65,85,25,65,6.5,1100,orange
95,58,72,26,60,7.0,700,pomegranate
105,62,78,27,68,6.5,1000,sapota
85,52,68,26,72,5.5,1200,pineapple
100,60,75,25,70,6.5,1300,litchi
110,65,82,27,75,6.5,1400,jackfruit
80,50,60,26,65,6.5,500,watermelon
75,48,55,25,64,6.5,450,muskmelon
70,45,50,20,68,6.0,600,strawberry
100,60,80,26,75,6.0,1500,ginger
110,65,85,25,75,6.5,1400,turmeric
90,55,70,22,60,6.5,450,garlic
60,40,50,23,62,6.5,400,coriander
50,35,45,24,55,7.0,350,cumin
55,38,48,22,58,6.5,380,fenugreek
120,70,90,26,80,6.0,2000,black_pepper
115,68,88,22,78,5.5,2500,cardamom
95,58,65,26,66,6.5,680,chilli_pepper
65,42,52,23,60,6.8,420,fennel
25,60,70,26,60,6.5,600,groundnut
30,65,75,25,65,6.5,700,soybean
80,50,60,21,55,6.5,400,mustard
70,50,60,24,58,6.5,500,sunflower
60,45,55,23,52,7.0,450,safflower
40,35,45,26,55,6.5,500,sesame
50,40,50,20,54,6.5,450,linseed
35,30,40,24,58,6.5,550,niger
45,38,48,25,56,6.5,600,castor
85,52,68,22,58,7.0,650,olive
150,80,100,27,75,6.5,1500,sugarcane
100,60,80,26,60,6.5,700,cotton
80,50,60,24,65,6.5,600,tobacco
90,55,65,27,80,6.5,1500,jute
95,58,68,23,65,6.8,700,hemp
120,70,90,23,80,5.5,2000,tea
110,65,85,24,75,6.0,1800,coffee
100,60,80,27,80,6.0,2500,rubber
130,75,95,28,75,6.5,1500,coconut
125,72,92,26,77,6.5,1800,arecanut
