Crop,Crop_Category,Soil_Type,pH_Min,pH_Max,pH_Optimal,Nitrogen_Min_kg_ha,Nitrogen_Max_kg_ha,Nitrogen_Optimal_kg_ha,Phosphorus_Min_kg_ha,Phosphorus_Max_kg_ha,Phosphorus_Optimal_kg_ha,Potassium_Min_kg_ha,Potassium_Max_kg_ha,Potassium_Optimal_kg_ha,Temperature_Min_C,Temperature_Max_C,Temperature_Optimal_C,Water_Requirement_mm,Moisture_Min_percent,Moisture_Max_percent,Moisture_Optimal_percent,Humidity_Min_percent,Humidity_Max_percent,Humidity_Optimal_percent,Growing_Season,Planting_Month,Harvesting_Month,Expected_Yield_tonnes_ha,Water_Efficiency_Index,Fertilizer_Efficiency_Index,Growth_Duration_days,Soil_Depth_cm,Rainfall_Requirement_mm
Rice,Cereal,Clay Loam,5.5,7.0,6.2,80,120,100,25,40,35,25,40,35,20,35,28,1200,60,80,70,70,90,80,Kharif,June,November,4.5,0.85,0.90,120,15,1000
Wheat,Cereal,Loam,6.0,7.5,6.8,100,150,125,30,50,40,30,50,40,15,25,20,450,50,70,60,55,75,65,Rabi,November,April,3.2,0.92,0.88,120,20,400
Sugarcane,Cash Crop,Clay Loam,6.0,8.0,6.8,150,250,200,40,80,60,60,100,80,20,35,28,1800,65,85,75,70,90,80,Year Round,February,January,70,0.80,0.85,365,30,1200
Cotton,Cash Crop,Black Cotton,5.8,8.2,7.0,60,120,90,20,40,30,25,45,35,21,32,27,600,45,65,55,50,80,65,Kharif,May,December,1.8,0.88,0.87,180,25,600
Jute,Fiber Crop,Clay Loam,5.5,7.0,6.2,40,80,60,15,30,25,20,35,30,24,35,30,1200,70,90,80,80,95,90,Kharif,April,September,2.5,0.83,0.85,120,20,1100
Groundnut,Oilseed,Sandy Loam,6.0,7.0,6.5,20,40,30,40,80,60,30,60,45,22,30,26,500,50,70,60,60,80,70,Kharif,June,October,1.2,0.90,0.92,100,20,500
Rapeseed_Mustard,Oilseed,Loam,6.0,7.5,6.8,60,100,80,30,50,40,25,45,35,10,25,18,300,45,65,55,50,70,60,Rabi,October,March,1.1,0.93,0.90,120,25,300
Gram,Pulse,Clay Loam,6.2,7.8,7.0,20,40,30,40,80,60,25,45,35,15,30,22,350,40,60,50,50,70,60,Rabi,November,March,0.9,0.95,0.94,100,20,300
Tur_Arhar,Pulse,Clay Loam,6.5,7.5,7.0,25,45,35,40,80,60,30,50,40,20,30,25,650,50,70,60,60,80,70,Kharif,June,February,0.8,0.89,0.91,180,25,600
Maize,Cereal,Loam,6.0,7.5,6.8,120,180,150,40,80,60,40,80,60,21,27,24,500,55,75,65,60,80,70,Kharif,June,October,2.5,0.87,0.86,90,20,500
